algorithm,size,min,max,avg
quick,50e1,0.025543689727783203,0.8456919193267822,0.31489200592041017
heap,50e1,0.02555704116821289,0.3363916873931885,0.14074525833129883
insertion,50e1,0.045931100845336914,2.5320236682891846,0.5635494232177735
selection,50e1,0.0861058235168457,0.7288141250610352,0.2659623146057129
merge,50e2,0.05613827705383301,0.5759046077728271,0.31706652641296384
quick,50e2,0.13259601593017578,1.0494718551635742,0.5727885246276856
heap,50e2,0.0714559555053711,1.4594383239746094,0.5548377513885498
insertion,50e2,3.1196656227111816,4.48895525932312,3.421338129043579
selection,50e2,4.389348983764648,11.071402549743652,7.876508903503418
merge,50e3,0.36797308921813965,1.362630844116211,0.7151051044464112
quick,50e3,0.5430424213409424,2.9601504802703857,1.0894550323486327
heap,50e3,0.9050536155700684,3.9509174823760986,2.6968422412872313
insertion,50e3,695.8784170150757,788.6256988048553,736.9218623638153
selection,50e3,-1,-1,-1
merge,50e4,5.215954780578613,25.519435167312622,10.882425308227539
quick,50e4,8.793434619903564,18.131779432296753,14.59073085784912
heap,50e4,23.020320177078247,26.272501707077026,24.979360389709473
insertion,50e4,-1,-1,-1
selection,50e4,-1,-1,-1
merge,50e5,105.12033462524414,136.38671493530273,117.73560457229614
quick,50e5,186.9128680229187,230.01390719413757,210.5328326702118
heap,50e5,322.55962681770325,398.79653120040894,356.95078015327454
insertion,50e5,-1,-1,-1
selection,50e5,-1,-1,-1
merge,75e0,0.04599308967590332,2.9802401065826416,0.6847295761108398
quick,75e0,0.0459752082824707,0.5401167869567871,0.17843117713928222
heap,75e0,0.045987606048583984,3.423311948776245,0.7377408027648926
insertion,75e0,0.030653715133666992,2.2578697204589844,0.5779563903808593
selection,75e0,0.06122088432312012,3.082258462905884,0.6776816844940186
merge,75e1,0.0560297966003418,3.035997152328491,0.726421308517456
quick,75e1,0.08666253089904785,0.28534483909606934,0.15088977813720703
heap,75e1,0.07129836082458496,0.4076237678527832,0.19257545471191406
insertion,75e1,0.05161309242248535,1.238936185836792,0.29131360054016114
selection,75e1,0.08617115020751953,2.3242170810699463,0.9068944454193115
merge,75e2,0.04088878631591797,3.2001662254333496,0.958546495437622
quick,75e2,0.04600214958190918,0.9011900424957275,0.6286627292633057
heap,75e2,0.09178328514099121,2.4331748485565186,0.7613823890686036
insertion,75e2,9.950215578079224,17.75584864616394,14.956718063354492
selection,75e2,12.111671686172485,25.940889835357666,18.310283374786376
merge,75e3,0.6029350757598877,3.0188610553741455,1.1644665718078613
quick,75e3,0.9596199989318848,3.6669156551361084,2.054050397872925
heap,75e3,1.4612765312194824,9.623766422271729,4.74703540802002
insertion,75e3,-1,-1,-1
selection,75e3,-1,-1,-1
merge,75e4,10.413585901260376,18.62040400505066,13.859352397918702
quick,75e4,16.41138482093811,49.993252992630005,31.91740999221802
heap,75e4,77.02987003326416,108.2422993183136,93.73173666000366
insertion,75e4,-1,-1,-1
selection,75e4,-1,-1,-1
merge,75e5,262.74597215652466,1043.0158412456512,762.3206117630004
quick,75e5,340.6082034111023,440.6496465206146,373.8043047428131
heap,75e5,-1,-1,-1
insertion,75e5,-1,-1,-1
selection,75e5,-1,-1,-1
